time,strokes,characters,undo strokes,undo characters,active time (seconds),total strokes,net strokes,net characters,net words (characters/5),stroke/word,net stroke/word,stroke/min,net stroke/min,net word/min,
2017-02-24T23:40:07.162000,2283,10675,515,2653,1546.001,=B2 + D2,=B2 - D2,=C2 - E2,=I2/5,=G2 / J2,=H2 / J2,=G2 * 60 / F2,=H2 * 60 / F2,=J2 * 60 / F2,
2017-02-25T23:40:07.162000,0,0,0,0,0.0,=B3 + D3,=B3 - D3,=C3 - E3,=I3/5,=G3 / J3,=H3 / J3,=G3 * 60 / F3,=H3 * 60 / F3,=J3 * 60 / F3,
2017-02-26T23:40:07.162000,3412,16639,829,4502,2414.037,=B4 + D4,=B4 - D4,=C4 - E4,=I4/5,=G4 / J4,=H4 / J4,=G4 * 60 / F4,=H4 * 60 / F4,=J4 * 60 / F4,
2017-02-27T23:40:07.162000,1579,8121,290,1462,988.861,=B5 + D5,=B5 - D5,=C5 - E5,=I5/5,=G5 / J5,=H5 / J5,=G5 * 60 / F5,=H5 * 60 / F5,=J5 * 60 / F5,
2017-02-28T23:40:07.162000,4364,21500,778,4484,2873.428,=B6 + D6,=B6 - D6,=C6 - E6,=I6/5,=G6 / J6,=H6 / J6,=G6 * 60 / F6,=H6 * 60 / F6,=J6 * 60 / F6,
2017-03-01T23:40:07.162000,3904,18631,689,3847,2374.366,=B7 + D7,=B7 - D7,=C7 - E7,=I7/5,=G7 / J7,=H7 / J7,=G7 * 60 / F7,=H7 * 60 / F7,=J7 * 60 / F7,
2017-03-02T23:40:07.162000,4460,20945,1048,5610,2817.065,=B8 + D8,=B8 - D8,=C8 - E8,=I8/5,=G8 / J8,=H8 / J8,=G8 * 60 / F8,=H8 * 60 / F8,=J8 * 60 / F8,
2017-03-03T23:40:07.162000,2140,10599,333,1861,1249.347,=B9 + D9,=B9 - D9,=C9 - E9,=I9/5,=G9 / J9,=H9 / J9,=G9 * 60 / F9,=H9 * 60 / F9,=J9 * 60 / F9,
2017-03-04T23:40:07.162000,7333,35008,1573,8125,4762.404,=B10 + D10,=B10 - D10,=C10 - E10,=I10/5,=G10 / J10,=H10 / J10,=G10 * 60 / F10,=H10 * 60 / F10,=J10 * 60 / F10,
2017-03-05T23:40:07.162000,4476,21655,843,4774,2832.017,=B11 + D11,=B11 - D11,=C11 - E11,=I11/5,=G11 / J11,=H11 / J11,=G11 * 60 / F11,=H11 * 60 / F11,=J11 * 60 / F11,
2017-03-06T23:40:07.162000,3318,16109,656,3663,2060.173,=B12 + D12,=B12 - D12,=C12 - E12,=I12/5,=G12 / J12,=H12 / J12,=G12 * 60 / F12,=H12 * 60 / F12,=J12 * 60 / F12,
2017-03-07T23:40:07.162000,4261,20363,1043,5408,3179.356,=B13 + D13,=B13 - D13,=C13 - E13,=I13/5,=G13 / J13,=H13 / J13,=G13 * 60 / F13,=H13 * 60 / F13,=J13 * 60 / F13,
2017-03-08T23:40:07.162000,3369,16662,596,3358,1977.117,=B14 + D14,=B14 - D14,=C14 - E14,=I14/5,=G14 / J14,=H14 / J14,=G14 * 60 / F14,=H14 * 60 / F14,=J14 * 60 / F14,
2017-03-09T23:40:07.162000,4381,20651,873,4178,2554.133,=B15 + D15,=B15 - D15,=C15 - E15,=I15/5,=G15 / J15,=H15 / J15,=G15 * 60 / F15,=H15 * 60 / F15,=J15 * 60 / F15,
